kod [hw1,hw2,hw3,hw4,hw5,hw6,hw7,hw8,hw9,hw10] bonus%
21b85f3 [0, 0.0, 6, 6, 0, 0, 0, 0, 0, 0] 25.0
03e6d65 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
25ca3b3 [6, 6.0, 6, 6, 4, 6, 5, 6, 5, 0] 95.83333333333333
5e34f5e [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
2c7711e [5, 6.0, 6, 6, 2, 5, 5, 5, 6, 6] 93.75
0ee1e77 [6, 6.0, 0, 0, 0, 5, 0, 0, 0, 0] 35.416666666666664
5cceaf6 [5, 0.0, 2, 4, 0, 0, 0, 0, 0, 0] 22.916666666666668
fdc8d92 [6, 6.0, 5, 6, 4, 5, 6, 5, 6, 5] 93.75
43f895a [6, 3.0, 0, 5, 0, 0, 0, 0, 0, 0] 29.166666666666668
0cbbebd [6, 6.0, 5, 6, 6, 6, 5, 0, 6, 0] 95.83333333333333
d9f4076 [6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 12.5
c8646f1 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
e4e8bcf [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
92c0e7b [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
bddbf26 [6, 4.5, 0, 0, 0, 0, 0, 0, 0, 0] 21.875
65bcb63 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
7962592 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
d7be2ee [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
f22632f [6, 4.5, 6, 0, 6, 0, 0, 0, 0, 0] 46.875
7f81a42 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
9e1bb87 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
31dd169 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
3767c47 [6, 4.5, 6, 0, 4, 5, 6, 6, 6, 1] 90.625
bf76e87 [2, 4.5, 6, 0, 4, 4, 5, 0, 6, 0] 65.625
b56c656 [6, 6.0, 6, 0, 4, 5, 6, 0, 0, 0] 68.75
37f15b9 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
3ecd5ff [6, 6.0, 6, 4, 4, 4, 5, 5, 0, 0] 83.33333333333333
86f94c9 [6, 3.0, 6, 6, 0, 4, 3, 6, 6, 0] 83.33333333333333
e8b1c39 [6, 3.0, 6, 6, 4, 5, 5, 6, 5, 3] 89.58333333333333
3d41362 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
0e09f27 [6, 6.0, 6, 6, 0, 6, 6, 6, 6, 6] 100.0
4d8b9e4 [0, 0.0, 0, 3, 6, 6, 6, 5, 5, 2] 68.75
5035a4a [6, 4.5, 5, 6, 6, 5, 6, 6, 0, 0] 92.70833333333333
16e6997 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
bc6fcee [6, 0.0, 0, 1, 1, 0, 1, 3, 6, 0] 37.5
4ed83e1 [5, 6.0, 6, 4, 2, 4, 4, 5, 6, 0] 83.33333333333333
840c040 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
1dfbf67 [6, 0.0, 0, 0, 6, 4, 0, 0, 0, 0] 33.333333333333336
5fd8fe6 [5, 6.0, 6, 6, 5, 5, 6, 6, 6, 6] 97.91666666666667
bd0a1fb [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
ddf1b62 [5, 6.0, 0, 0, 6, 0, 0, 0, 0, 0] 35.416666666666664
1ad4833 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
89daa0d [4, 3.0, 6, 5, 4, 4, 4, 5, 4, 4] 75.0
0246750 [0, 0.0, 6, 0, 0, 4, 0, 0, 0, 0] 20.833333333333332
ec86847 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
f9db59f [4, 3.0, 4, 1, 2, 3, 5, 3, 4, 4] 62.5
9f5eaf5 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
c7c2859 [6, 0.0, 6, 0, 0, 0, 0, 0, 0, 0] 25.0
4be42fa [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
8215c3f [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
57dc2b5 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
1e98aee [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
a4423b4 [5, 0.0, 6, 0, 3, 3, 6, 3, 0, 0] 54.166666666666664
f3d9aea [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
176fd2c [6, 6.0, 0, 6, 4, 4, 5, 6, 0, 6] 89.58333333333333
a81feed [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
f62d7ea [0, 1.5, 0, 0, 0, 0, 0, 0, 0, 0] 3.125
5495640 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
e91f525 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
72c0c23 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
e057485 [6, 3.0, 6, 5, 3, 5, 5, 0, 5, 0] 79.16666666666667
d1489ff [6, 4.5, 6, 4, 2, 5, 5, 5, 0, 3] 80.20833333333333
19e8005 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
f452b80 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
b6eff9e [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
2f60b81 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
62d1dbe [2, 0.0, 4, 1, 3, 4, 3, 2, 3, 3] 50.0
3549d27 [6, 4.5, 6, 4, 5, 0, 5, 6, 0, 0] 76.04166666666667
c494f98 [0, 0.0, 0, 3, 4, 0, 0, 0, 0, 0] 14.583333333333334
af408d3 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
2349c0f [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
c32adca [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
cf6cf9a [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
8899e75 [5, 6.0, 6, 6, 6, 6, 5, 5, 5, 6] 95.83333333333333
80cf8db [6, 6.0, 6, 0, 6, 5, 5, 6, 6, 6] 97.91666666666667
01ceaa3 [3, 4.5, 4, 6, 3, 5, 6, 6, 5, 0] 82.29166666666667
5072bf9 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
87e7bd6 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
6c3447f [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
e58ab0f [6, 4.5, 6, 4, 0, 0, 0, 0, 0, 0] 42.708333333333336
2625de6 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
c0edb5c [6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 12.5
aa5f735 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
3b12f66 [5, 6.0, 6, 0, 4, 5, 0, 6, 6, 5] 89.58333333333333
4dee1d2 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
824bd4c [6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 12.5
1642f34 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
eaab3b0 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
757ea9c [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
7b654bd [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
3c8fdd2 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
7a0f243 [5, 6.0, 6, 6, 4, 5, 5, 3, 5, 5] 89.58333333333333
6813449 [0, 3.0, 0, 0, 0, 0, 0, 0, 0, 0] 6.25
970621d [6, 0.0, 6, 6, 2, 0, 0, 0, 0, 0] 41.666666666666664
75a260c [5, 4.5, 5, 4, 0, 0, 0, 0, 0, 0] 38.541666666666664
7196406 [6, 0.0, 6, 6, 3, 0, 6, 3, 0, 0] 62.5
cbcc700 [6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 12.5
220c3fb [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
684affe [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
3c0e16e [4, 3.0, 6, 5, 3, 5, 5, 5, 6, 6] 87.5
18a398e [5, 6.0, 6, 6, 5, 5, 5, 6, 0, 0] 91.66666666666667
5a38f01 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
118c60f [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
a08e2ae [6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 12.5
7a4141a [6, 3.0, 5, 6, 4, 5, 0, 6, 0, 0] 72.91666666666667
3132552 [6, 6.0, 6, 6, 6, 0, 6, 6, 6, 6] 100.0
dee6e3e [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
96743f3 [6, 4.5, 6, 4, 4, 4, 5, 6, 6, 0] 86.45833333333333
b0b9f87 [6, 6.0, 6, 3, 0, 5, 5, 5, 3, 0] 81.25
879f8a8 [6, 6.0, 6, 6, 6, 6, 0, 3, 5, 4] 93.75
a20bb9f [6, 4.5, 6, 4, 2, 4, 5, 5, 5, 0] 82.29166666666667
37bc56c [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
f1a527e [0, 0.0, 4, 0, 0, 0, 0, 0, 0, 0] 8.333333333333334
800b3f4 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
437e844 [0, 3.0, 6, 6, 0, 0, 0, 0, 0, 0] 31.25
7f78964 [5, 4.5, 5, 0, 0, 0, 0, 0, 0, 0] 30.208333333333332
d5efc7b [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
dc47890 [6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 12.5
e6b0670 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
4dbbce7 [6, 0.0, 5, 5, 2, 5, 0, 4, 0, 0] 56.25
451f34d [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
3e1a082 [6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 12.5
59dc204 [0, 6.0, 6, 0, 5, 0, 0, 5, 6, 0] 58.333333333333336
feb57c1 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
05b4256 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
c3e7503 [4, 4.5, 5, 6, 4, 5, 5, 3, 6, 0] 82.29166666666667
ac041fc [5, 4.5, 6, 6, 4, 5, 0, 6, 0, 0] 76.04166666666667
184a087 [6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 12.5
9abe9b7 [6, 0.0, 0, 3, 0, 0, 0, 0, 0, 0] 18.75
d8d346c [0, 3.0, 6, 4, 4, 5, 0, 6, 6, 1] 72.91666666666667
174a26e [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
89514bd [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
1477f59 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
d43359b [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
4528938 [6, 6.0, 6, 5, 4, 6, 5, 6, 6, 0] 95.83333333333333
6ba5316 [6, 6.0, 6, 0, 6, 6, 5, 6, 6, 6] 100.0
e41f996 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
3ea7d47 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
96510e3 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
5a72953 [5, 0.0, 5, 6, 4, 4, 5, 5, 4, 2] 79.16666666666667
b0fb4b5 [6, 4.5, 0, 6, 2, 4, 3, 5, 6, 0] 76.04166666666667
dcf50c5 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
23d938a [2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 4.166666666666667
3feff73 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
2544977 [6, 4.5, 6, 5, 0, 5, 0, 0, 6, 0] 67.70833333333333
45e8113 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
be02908 [6, 4.5, 6, 0, 6, 5, 6, 6, 6, 5] 95.83333333333333
eba39b1 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
f92b5d7 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
c7e629c [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
54cfa44 [6, 4.5, 6, 0, 5, 4, 3, 6, 3, 0] 78.125
ee136d5 [6, 6.0, 6, 6, 3, 6, 5, 4, 0, 0] 87.5
